序號,狀態,來源方式,類別,原文標題,網域,原文連結,索引標題,索引連結,搜尋順位,來源元素據檔,最終網址,HTTP狀態,內容型態,擷取方法,正文字元數,輸出檔,錯誤
39,成功,search_result,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,颱風過後又溜回來！權宜輪「永恆號」逼近台灣海纜 海巡監控中,tw.news.yahoo.com,https://tw.news.yahoo.com/颱風過後又溜回來-權宜輪-永恆號-逼近台灣海纜-海巡監控中-095012743.html,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,2,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,https://tw.news.yahoo.com/%E9%A2%B1%E9%A2%A8%E9%81%8E%E5%BE%8C%E5%8F%88%E6%BA%9C%E5%9B%9E%E4%BE%86-%E6%AC%8A%E5%AE%9C%E8%BC%AA-%E6%B0%B8%E6%81%86%E8%99%9F-%E9%80%BC%E8%BF%91%E5%8F%B0%E7%81%A3%E6%B5%B7%E7%BA%9C-%E6%B5%B7%E5%B7%A1%E7%9B%A3%E6%8E%A7%E4%B8%AD-095012743.html,200,text/html; charset=utf-8,trafilatura,2742,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\颱風過後又溜回來!權宜輪「永恆號」逼近台灣海纜 海巡監控中.txt,
18,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,顧立雄：若中共封鎖台灣 國軍進入應急作戰階段,cna.com.tw,https://www.cna.com.tw/news/aipl/202410230064.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/002_4e7b9ce5.txt,https://www.cna.com.tw/news/aipl/202410230064.aspx,200,text/html; charset=utf-8,trafilatura,968,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\顧立雄：若中共封鎖台灣 國軍進入應急作戰階段.txt,
26,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,台灣海纜損害分析報告　數發部：權宜輪非法下錨成新型態威脅,cna.com.tw,https://www.cna.com.tw/news/afe/202604070214.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/005_9f41a406.txt,https://www.cna.com.tw/news/afe/202604070214.aspx,200,text/html; charset=utf-8,trafilatura,1130,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\台灣海纜損害分析報告 數發部：權宜輪非法下錨成新型態威脅.txt,
20,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共軍演啟示 國防院學者：國軍首要突破東部封鎖,cna.com.tw,https://www.cna.com.tw/news/aipl/202410150298.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/004_e654f293.txt,https://www.cna.com.tw/news/aipl/202410150298.aspx,200,text/html; charset=utf-8,trafilatura,1111,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\中共軍演啟示 國防院學者：國軍首要突破東部封鎖.txt,
28,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,國安局：2024年每日遭中共網攻240萬次 比前1年翻倍,cna.com.tw,https://www.cna.com.tw/news/aipl/202501050041.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/001_899bed51.txt,https://www.cna.com.tw/news/aipl/202501050041.aspx,200,text/html; charset=utf-8,trafilatura,1068,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\國安局：2024年每日遭中共網攻240萬次 比前1年翻倍.txt,
22,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,海纜非自然因素斷裂 卓榮泰：建立應處行為標準機制,cna.com.tw,https://www.cna.com.tw/news/aipl/202503040152.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/001_fe68d0a9.txt,https://www.cna.com.tw/news/aipl/202503040152.aspx,200,text/html; charset=utf-8,trafilatura,1108,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\海纜非自然因素斷裂 卓榮泰：建立應處行為標準機制.txt,
21,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共對台軍演 國防部啟動立即備戰操演因應,cna.com.tw,https://www.cna.com.tw/news/aipl/202504010372.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/003_9887ecba.txt,https://www.cna.com.tw/news/aipl/202504010372.aspx,200,text/html; charset=utf-8,trafilatura,1095,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\中共對台軍演 國防部啟動立即備戰操演因應.txt,
19,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共軍演落幕 專家示警聯合封控戰略,cna.com.tw,https://www.cna.com.tw/news/aipl/202504020405.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/001_17dc68b7.txt,https://www.cna.com.tw/news/aipl/202504020405.aspx,200,text/html; charset=utf-8,trafilatura,941,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\中共軍演落幕 專家示警聯合封控戰略.txt,
31,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,中共散布爭議訊息今年已逾51萬則 國安局曝認知作戰路徑,cna.com.tw,https://www.cna.com.tw/news/aipl/202504080109.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/002_2f6b4fe4.txt,https://www.cna.com.tw/news/aipl/202504080109.aspx,200,text/html; charset=utf-8,trafilatura,1081,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\中共散布爭議訊息今年已逾51萬則 國安局曝認知作戰路徑.txt,
5,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,How China Could Quarantine Taiwan: Mapping Out Two Possible Scenarios,csis.org,https://www.csis.org/analysis/how-china-could-quarantine-taiwan-mapping-out-two-possible-scenarios,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/003_fba77138.txt,https://www.csis.org/analysis/how-china-could-quarantine-taiwan-mapping-out-two-possible-scenarios,200,text/html; charset=utf-8,trafilatura,28502,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\How China Could Quarantine Taiwan： Mapping Out Two Possible Scenarios.txt,
27,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,國安局：中共組建網路民兵與民間網駭側翼　政府網路日遭擾280萬次,cna.com.tw,https://www.cna.com.tw/news/aipl/202510130265.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/003_bad5a5f4.txt,https://www.cna.com.tw/news/aipl/202510130265.aspx,200,text/html; charset=utf-8,trafilatura,1250,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\國安局：中共組建網路民兵與民間網駭側翼 政府網路日遭擾280萬次.txt,
3,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Lights Out? Wargaming a Chinese Blockade of Taiwan,csis.org,https://www.csis.org/analysis/lights-out-wargaming-chinese-blockade-taiwan,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/001_6825dd68.txt,https://www.csis.org/analysis/lights-out-wargaming-chinese-blockade-taiwan,200,text/html; charset=utf-8,trafilatura,985,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\Lights Out？ Wargaming a Chinese Blockade of Taiwan.txt,
29,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,中共對台關鍵基礎設施網攻日均263萬次　能源醫療成重點攻擊目標,cna.com.tw,https://www.cna.com.tw/news/aipl/202601040030.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/004_7d521b14.txt,https://www.cna.com.tw/news/aipl/202601040030.aspx,200,text/html; charset=utf-8,trafilatura,1357,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\中共對台關鍵基礎設施網攻日均263萬次 能源醫療成重點攻擊目標.txt,
24,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,中資背景宏泰貨輪涉毀台澎海纜 中國籍船長未供出幕後指使,cna.com.tw,https://www.cna.com.tw/news/asoc/202504110085.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/002_f8017753.txt,https://www.cna.com.tw/news/asoc/202504110085.aspx,200,text/html; charset=utf-8,trafilatura,1144,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\中資背景宏泰貨輪涉毀台澎海纜 中國籍船長未供出幕後指使.txt,
2,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Securing Cyber and Space: How the United States Can Disrupt China’s Blockade Plans,csis.org,https://www.csis.org/analysis/securing-cyber-and-space-how-united-states-can-disrupt-chinas-blockade-plans,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/002_9ab12457.txt,https://www.csis.org/analysis/securing-cyber-and-space-how-united-states-can-disrupt-chinas-blockade-plans,200,text/html; charset=utf-8,trafilatura,12819,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\Securing Cyber and Space： How the United States Can Disrupt China’s Blockade Plans.txt,
23,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,中資背景宏泰貨船毀台澎海底電纜 中國籍船長否認犯行判刑3年,cna.com.tw,https://www.cna.com.tw/news/asoc/202506120208.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/003_b8a44973.txt,https://www.cna.com.tw/news/asoc/202506120208.aspx,200,text/html; charset=utf-8,trafilatura,736,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\中資背景宏泰貨船毀台澎海底電纜 中國籍船長否認犯行判刑3年.txt,
12,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Analysis on China's Cyberattack Techniques in 2024,globalsecurity.org,https://www.globalsecurity.org/security/library/news/2025/01/sec-250105-roc-nsb01.htm,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/003_0904fc5d.txt,https://www.globalsecurity.org/security/library/news/2025/01/sec-250105-roc-nsb01.htm,200,text/html; charset=utf-8,trafilatura,4482,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\Analysis on China's Cyberattack Techniques in 2024.txt,
16,失敗,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,"Chinese cyberattacks on Taiwan government averaged 2.4 mln a day in 2024, report says",reuters.com,https://www.reuters.com/technology/cybersecurity/chinese-cyberattacks-taiwan-government-averaged-24-mln-day-2024-report-says-2025-01-06/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/001_7a3d3f1b.txt,,,,,0,,robots.txt 不允許抓取
13,失敗,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,"Chinese cyberattacks on Taiwan infrastructure averaged 2.6 million a day in 2025, report says",reuters.com,https://www.reuters.com/world/china/chinese-cyberattacks-taiwan-infrastructure-averaged-26-million-day-2025-report-2026-01-05/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/002_a8f8eee1.txt,,,,,0,,robots.txt 不允許抓取
7,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Taiwan catches Chinese-owned ship in act of cutting subsea cable,ft.com,https://www.ft.com/content/eb4af880-be13-4e1d-b7f1-4a55848b7acf,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B1_001_4aaa641e.txt,https://www.ft.com/content/eb4af880-be13-4e1d-b7f1-4a55848b7acf,200,text/html; charset=utf-8,beautifulsoup,810,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\Taiwan catches Chinese-owned ship in act of cutting subsea cable.txt,
30,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,2024 年中共網駭手法分析,nsb.gov.tw,https://www.nsb.gov.tw/zh/assets/documents/%E6%96%B0%E8%81%9E%E7%A8%BF/2024%E5%B9%B4%E4%B8%AD%E5%85%B1%E7%B6%B2%E9%A7%AD%E6%94%BB%E6%93%8A%E6%85%8B%E6%A8%A3%E5%88%86%E6%9E%90%28%E5%A0%B1%E5%91%8A%E5%85%A8%E6%96%87%29-%E4%B8%AD%E6%96%87.pdf,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/005_7eaf89e8.txt,https://www.nsb.gov.tw/zh/assets/documents/%E6%96%B0%E8%81%9E%E7%A8%BF/2024%E5%B9%B4%E4%B8%AD%E5%85%B1%E7%B6%B2%E9%A7%AD%E6%94%BB%E6%93%8A%E6%85%8B%E6%A8%A3%E5%88%86%E6%9E%90%28%E5%A0%B1%E5%91%8A%E5%85%A8%E6%96%87%29-%E4%B8%AD%E6%96%87.pdf,200,application/pdf,pypdf,1481,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\2024 年中共網駭手法分析.txt,
25,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,台灣首宗破壞海纜案判3年 檢察官籲修法提高刑度,cna.com.tw,https://www.cna.com.tw/news/asoc/202507110044.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/004_a0f47712.txt,https://www.cna.com.tw/news/asoc/202507110044.aspx,200,text/html; charset=utf-8,trafilatura,1031,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\台灣首宗破壞海纜案判3年 檢察官籲修法提高刑度.txt,
15,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,CYBER THREAT LANDSCAPE REPORT - TAIWAN,cyfirma.com,https://www.cyfirma.com/research/cyber-threat-landscape-report-taiwan/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/005_231b03c0.txt,https://www.cyfirma.com/research/cyber-threat-landscape-report-taiwan/,200,text/html; charset=utf-8,trafilatura,22781,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\CYBER THREAT LANDSCAPE REPORT - TAIWAN.txt,
14,成功,direct,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Analysis on China's Cyber Threats to Taiwan's Critical Infrastructure in 2025,globalsecurity.org,https://www.globalsecurity.org/security/library/news/2026/01/sec-260103-roc-nsb01.htm,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/004_f44d118e.txt,https://www.globalsecurity.org/security/library/news/2026/01/sec-260103-roc-nsb01.htm,200,text/html; charset=utf-8,trafilatura,5217,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\Analysis on China's Cyber Threats to Taiwan's Critical Infrastructure in 2025.txt,
38,成功,search_result,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,台灣海纜遭損壞 國安局：境外敵對勢力灰帶威脅新態樣,setn.com,https://www.setn.com/news/1595159,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,1,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,https://www.setn.com/news/1595159,200,text/html; charset=utf-8,trafilatura,1198,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\台灣海纜遭損壞 國安局：境外敵對勢力灰帶威脅新態樣.txt,
