序號,類別,原文標題,網域,語言,來源型態,發布時間,原文／索引連結,索引型態,來源元素據檔
19,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Analysis on China's Cyber Threats to Taiwan's Critical Infrastructure in 2025,globalsecurity.org,English,government-report mirror,2026-01-03,https://www.globalsecurity.org/security/library/news/2026/01/sec-260103-roc-nsb01.htm,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/004_f44d118e.txt
20,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,CYBER THREAT LANDSCAPE REPORT - TAIWAN,cyfirma.com,English,cybersecurity research report,2026-04-01,https://www.cyfirma.com/research/cyber-threat-landscape-report-taiwan/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/005_231b03c0.txt
21,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Bing News candidate collection: China cyberattacks Taiwan critical infrastructure telecom transport energy hospitals,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=China+cyberattacks+Taiwan+critical+infrastructure+telecom+transport+energy+hospitals&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_007.txt
22,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,"Chinese cyberattacks on Taiwan government averaged 2.4 mln a day in 2024, report says",reuters.com,English,news media,2025-01-06,https://www.reuters.com/technology/cybersecurity/chinese-cyberattacks-taiwan-government-averaged-24-mln-day-2024-report-says-2025-01-06/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/001_7a3d3f1b.txt
23,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,共軍宣布29日起環台軍演　30日實彈射擊,cna.com.tw,中文,新聞媒體,2025-12-29,https://www.cna.com.tw/news/acn/202512290014.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/005_ea7c3d1b.txt
24,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,顧立雄：若中共封鎖台灣 國軍進入應急作戰階段,cna.com.tw,中文,新聞媒體,2024-10-23,https://www.cna.com.tw/news/aipl/202410230064.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/002_4e7b9ce5.txt
25,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共軍演落幕 專家示警聯合封控戰略,cna.com.tw,中文,新聞媒體,2025-04-02,https://www.cna.com.tw/news/aipl/202504020405.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/001_17dc68b7.txt
26,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共軍演啟示 國防院學者：國軍首要突破東部封鎖,cna.com.tw,中文,新聞媒體,2024-10-15,https://www.cna.com.tw/news/aipl/202410150298.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/004_e654f293.txt
27,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Bing News 候選來源集合：中共 封鎖 台灣 港口 能源 通訊 關鍵基礎設施,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E4%B8%AD%E5%85%B1+%E5%B0%81%E9%8E%96+%E5%8F%B0%E7%81%A3+%E6%B8%AF%E5%8F%A3+%E8%83%BD%E6%BA%90+%E9%80%9A%E8%A8%8A+%E9%97%9C%E9%8D%B5%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_009.txt
28,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Bing News 候選來源集合：共軍 要港要域封控 台灣 能源 海上運輸線,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E5%85%B1%E8%BB%8D+%E8%A6%81%E6%B8%AF%E8%A6%81%E5%9F%9F%E5%B0%81%E6%8E%A7+%E5%8F%B0%E7%81%A3+%E8%83%BD%E6%BA%90+%E6%B5%B7%E4%B8%8A%E9%81%8B%E8%BC%B8%E7%B7%9A&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_010.txt
29,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,中共對台軍演 國防部啟動立即備戰操演因應,cna.com.tw,中文,新聞媒體,2025-04-01,https://www.cna.com.tw/news/aipl/202504010372.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/003_9887ecba.txt
30,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,海纜非自然因素斷裂 卓榮泰：建立應處行為標準機制,cna.com.tw,中文,新聞媒體,2025-03-04,https://www.cna.com.tw/news/aipl/202503040152.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/001_fe68d0a9.txt
31,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,中資背景宏泰貨船毀台澎海底電纜 中國籍船長否認犯行判刑3年,cna.com.tw,中文,新聞媒體,2025-06-12,https://www.cna.com.tw/news/asoc/202506120208.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/003_b8a44973.txt
32,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,中資背景宏泰貨輪涉毀台澎海纜 中國籍船長未供出幕後指使,cna.com.tw,中文,新聞媒體,2025-04-11,https://www.cna.com.tw/news/asoc/202504110085.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/002_f8017753.txt
33,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Bing News 候選來源集合：順興39 宏泰58 台灣 海纜 灰色地帶,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E9%A0%86%E8%88%8839+%E5%AE%8F%E6%B3%B058+%E5%8F%B0%E7%81%A3+%E6%B5%B7%E7%BA%9C+%E7%81%B0%E8%89%B2%E5%9C%B0%E5%B8%B6&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_002.txt
34,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt
35,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,台灣首宗破壞海纜案判3年 檢察官籲修法提高刑度,cna.com.tw,中文,新聞媒體,2025-07-11,https://www.cna.com.tw/news/asoc/202507110044.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/004_a0f47712.txt
36,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,台灣海纜損害分析報告　數發部：權宜輪非法下錨成新型態威脅,cna.com.tw,中文,新聞媒體,2026-04-07,https://www.cna.com.tw/news/afe/202604070214.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/005_9f41a406.txt
37,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Bing News 候選來源集合：中共 台灣 關鍵基礎設施 網攻 電信 交通 能源 醫療,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E4%B8%AD%E5%85%B1+%E5%8F%B0%E7%81%A3+%E9%97%9C%E9%8D%B5%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD+%E7%B6%B2%E6%94%BB+%E9%9B%BB%E4%BF%A1+%E4%BA%A4%E9%80%9A+%E8%83%BD%E6%BA%90+%E9%86%AB%E7%99%82&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_005.txt
38,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Bing News 候選來源集合：中國 網軍 台灣 關鍵基礎設施 DDoS 供應鏈攻擊,bing.com,中文,公開新聞搜尋索引；候選來源集合，非單篇全文,未確認（搜尋集合）,https://www.bing.com/news/search?q=%E4%B8%AD%E5%9C%8B+%E7%B6%B2%E8%BB%8D+%E5%8F%B0%E7%81%A3+%E9%97%9C%E9%8D%B5%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD+DDoS+%E4%BE%9B%E6%87%89%E9%8F%88%E6%94%BB%E6%93%8A&setlang=zh-tw,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_006.txt
39,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,國安局：中共組建網路民兵與民間網駭側翼　政府網路日遭擾280萬次,cna.com.tw,中文,新聞媒體,2025-10-13,https://www.cna.com.tw/news/aipl/202510130265.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/003_bad5a5f4.txt
40,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,國安局：2024年每日遭中共網攻240萬次 比前1年翻倍,cna.com.tw,中文,新聞媒體,2025-01-05,https://www.cna.com.tw/news/aipl/202501050041.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/001_899bed51.txt
41,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,中共對台關鍵基礎設施網攻日均263萬次　能源醫療成重點攻擊目標,cna.com.tw,中文,新聞媒體,2026-01-04,https://www.cna.com.tw/news/aipl/202601040030.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/004_7d521b14.txt
42,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,2024 年中共網駭手法分析,nsb.gov.tw,中文,政府報告,2025-01-05,https://www.nsb.gov.tw/zh/assets/documents/%E6%96%B0%E8%81%9E%E7%A8%BF/2024%E5%B9%B4%E4%B8%AD%E5%85%B1%E7%B6%B2%E9%A7%AD%E6%94%BB%E6%93%8A%E6%85%8B%E6%A8%A3%E5%88%86%E6%9E%90%28%E5%A0%B1%E5%91%8A%E5%85%A8%E6%96%87%29-%E4%B8%AD%E6%96%87.pdf,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/005_7eaf89e8.txt
43,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,中共散布爭議訊息今年已逾51萬則 國安局曝認知作戰路徑,cna.com.tw,中文,新聞媒體,2025-04-08,https://www.cna.com.tw/news/aipl/202504080109.aspx,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/002_2f6b4fe4.txt
