label,language,filename,source_title,source_domain,source_type,publication_date,collection_date,url,quota_role,record_kind,character_count
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_011.txt,公開新聞索引：矽格 Sigurd｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E7%9F%BD%E6%A0%BC+Sigurd+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1907
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_012.txt,公開新聞索引：欣銓 Ardentec｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%AC%A3%E9%8A%93+Ardentec+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1916
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_013.txt,公開新聞索引：穎崴 WinWay｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E7%A9%8E%E5%B4%B4+WinWay+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1910
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_014.txt,公開新聞索引：旺矽 MPI｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%97%BA%E7%9F%BD+MPI+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1897
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_015.txt,公開新聞索引：弘塑 Grand Process Technology｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%BC%98%E5%A1%91+Grand+Process+Technology+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1984
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_016.txt,公開新聞索引：辛耘 Scientech｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E8%BE%9B%E8%80%98+Scientech+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1924
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_017.txt,公開新聞索引：家登 Gudeng｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%AE%B6%E7%99%BB+Gudeng+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1915
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_018.txt,公開新聞索引：中砂 Kinik｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E4%B8%AD%E7%A0%82+Kinik+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1908
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_019.txt,公開新聞索引：均豪 Gallant Precision Machining｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%9D%87%E8%B1%AA+Gallant+Precision+Machining+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1996
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_020.txt,公開新聞索引：致茂 Chroma｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E8%87%B4%E8%8C%82+Chroma+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1910
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_021.txt,公開新聞索引：台積電 TSMC｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB+TSMC+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1911
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_022.txt,公開新聞索引：聯發科 MediaTek｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E8%81%AF%E7%99%BC%E7%A7%91+MediaTek+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1928
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_023.txt,公開新聞索引：日月光投控 ASE Technology｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%97%A5%E6%9C%88%E5%85%89%E6%8A%95%E6%8E%A7+ASE+Technology+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1978
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_024.txt,公開新聞索引：創意 Global Unichip｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%89%B5%E6%84%8F+Global+Unichip+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1941
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_025.txt,公開新聞索引：世芯-KY Alchip｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E4%B8%96%E8%8A%AF-KY+Alchip+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1924
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_026.txt,公開新聞索引：力旺 eMemory｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%8A%9B%E6%97%BA+eMemory+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1916
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_027.txt,公開新聞索引：智原 Faraday｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%99%BA%E5%8E%9F+Faraday+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1919
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_028.txt,公開新聞索引：M31｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=M31+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1872
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_029.txt,公開新聞索引：晶心科 Andes Technology｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%99%B6%E5%BF%83%E7%A7%91+Andes+Technology+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1964
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_030.txt,公開新聞索引：京元電子 King Yuan Electronics｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E4%BA%AC%E5%85%83%E9%9B%BB%E5%AD%90+King+Yuan+Electronics+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1994
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_031.txt,公開新聞索引：矽格 Sigurd｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E7%9F%BD%E6%A0%BC+Sigurd+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1907
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_032.txt,公開新聞索引：欣銓 Ardentec｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%AC%A3%E9%8A%93+Ardentec+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1916
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_033.txt,公開新聞索引：穎崴 WinWay｜法說會展望與EPS修正｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E7%A9%8E%E5%B4%B4+WinWay+%E6%B3%95%E8%AA%AA%E6%9C%83%E5%B1%95%E6%9C%9B%E8%88%87EPS%E4%BF%AE%E6%AD%A3+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1910
