label	file	title	domain	source_type	published	url	fine_labels
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/011_us-launches-new-wave-of-strikes-against-iran-aimed-at-degrading-milita.txt	US launches new wave of strikes against Iran, aimed at ‘degrading’ military | US-Israel war on Iran News | Al Jazeera	aljazeera.com	新聞媒體	last week	https://www.aljazeera.com/news/2026/7/12/us-launches-new-wave-of-strikes-against-iran-aimed-at-degrading-military	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/012_roaring-lion-7-600-strikes-in-iran-and-1-100-in-lebanon-israel-jewish.txt	‘Roaring Lion': 7,600 strikes in Iran and 1,100 in Lebanon - Israel & Jewish News - JNS	jns.org	新聞媒體	4 months ago	https://www.jns.org/israel-news/roaring-lion-7600-strikes-in-iran-and-1100-in-lebanon	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/013_u-s-conducts-6-000-combat-sorties-against-iran-since-operation-epic-fu.txt	U.S. Conducts 6,000 Combat Sorties Against Iran Since Operation Epic Fury Began	armyrecognition.com	新聞媒體	4 months ago	https://www.armyrecognition.com/news/army-news/2026/u-s-conducts-6-000-combat-sorties-against-iran-since-operation-epic-fury-began	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/014_iranian-warship-sunk-in-indian-ocean-by-us-navy-submarine-over-80-dead.txt	Iranian Warship Sunk in Indian Ocean by US Navy submarine, Over 80 Dead - Naval News	navalnews.com	新聞媒體	4 months ago	https://www.navalnews.com/naval-news/2026/03/iranian-warship-sunk-in-indian-ocean-by-us-navy-submarine-over-80-dead	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/015_b-1b-lancers-conduct-deep-strikes-in-iran-as-part-of-operation-epic-fu.txt	B-1B Lancers conduct deep strikes in Iran as part of Operation Epic Fury	militarytimes.com	新聞媒體	4 months ago	https://www.militarytimes.com/news/your-military/2026/03/03/b-1b-lancers-conduct-deep-strikes-in-iran-as-part-of-operation-epic-fury	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/016_iran-pounds-kuwait-with-fresh-wave-of-missile-launches-after-us-strike.txt	Iran pounds Kuwait with fresh wave of missile launches after US strikes	nypost.com	新聞媒體	today	https://nypost.com/2026/07/21/world-news/iran-pounds-kuwait-with-fresh-wave-of-missile-launches-after-us-strikes	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/017_us-iran-war-2026-operation-epic-fury-and-the-hormuz-crisis-quwa.txt	US-Iran War 2026: Operation Epic Fury and the Hormuz Crisis - Quwa	quwa.org	新聞媒體	2 months ago	https://quwa.org/iran/military-news-iran/us-iran-war-2026-operation-epic-fury-the-strait-of-hormuz-crisis-and-the-limits-of-american-air-power	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/018_middle-east-crisis-live-israel-says-80-jets-hit-iranian-military-sites.txt	Middle East crisis live: Israel says 80 jets hit Iranian military sites as war enters second week | US-Israel war on Iran | The…	theguardian.com	新聞媒體	4 months ago	https://www.theguardian.com/world/live/2026/mar/07/middle-east-crisis-live-tehran-explosions-beirut-trump-israel-iran-war-second-week	2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/019_peace-through-strength-president-trump-launches-operation-epic-fury-to.txt	Peace Through Strength: President Trump Launches Operation Epic Fury to Crush Iranian Regime, End Nuclear Threat – The White House	whitehouse.gov	政府／國際組織	4 months ago	https://www.whitehouse.gov/releases/2026/03/peace-through-strength-president-trump-launches-operation-epic-fury-to-crush-iranian-regime-end-nuclear-threat	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/020_us-military-says-blockade-of-iran-ports-completely-halts-economic-trad.txt	US military says blockade of Iran ports ‘completely’ halts economic trade | US-Israel war on Iran News | Al Jazeera	aljazeera.com	新聞媒體	3 months ago	https://www.aljazeera.com/economy/2026/4/15/us-military-says-blockade-of-iran-ports-completely-halts-economic-trade	2026 US-Iran War-Operation Epic Fury
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/021_why-have-us-iran-strikes-resumed-and-what-does-it-mean-for-peace-us-is.txt	Why have US-Iran strikes resumed and what does it mean for peace? | US-Israel war on Iran News | Al Jazeera	aljazeera.com	新聞媒體	2 weeks ago	https://www.aljazeera.com/news/2026/7/8/why-have-us-iran-strikes-resumed-and-what-does-it-mean-for-peace-talks	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/022_us-military-completes-its-latest-strikes-on-iran-marking-the-10th-succ.txt	US military completes its latest strikes on Iran, marking the 10th successive night of attacks	reuters.com	新聞媒體	today	https://www.reuters.com/world/middle-east/us-military-completes-its-latest-strikes-iran-marking-10th-successive-night-2026-07-21	2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/023_us-military-says-it-has-ended-its-latest-strikes-on-iran.txt	US military says it has ended its latest strikes on Iran	reuters.com	新聞媒體	today	https://www.reuters.com/world/middle-east/us-military-says-it-has-ended-its-latest-strikes-iran-2026-07-22	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/024_us-forces-take-out-20-plus-ships-as-part-of-effort-to-sink-iranian-fle.txt	US forces take out 20-plus ships as part of effort to sink Iranian fleet, DOD officials say | Stars and Stripes	stripes.com	新聞媒體	4 months ago	https://www.stripes.com/branches/navy/2026-03-04/iran-navy-cooper-ships-ballistic-missiles-20947477.html	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/025_us-has-used-scores-of-weapons-to-hit-thousands-of-targets-in-38-days-o.txt	US has used scores of weapons to hit thousands of targets in 38 days of war with Iran | Stars and Stripes	stripes.com	新聞媒體	3 months ago	https://www.stripes.com/theaters/middle_east/2026-04-06/weapons-used-targets-struck-operation-epic-fury-21298231.html	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/026_us-bombs-iran-for-ninth-consecutive-night-as-hormuz-tensions-escalate.txt	US bombs Iran for ninth consecutive night as Hormuz tensions escalate | US-Israel war on Iran News | Al Jazeera	aljazeera.com	新聞媒體	2 days ago	https://www.aljazeera.com/news/2026/7/20/us-bombs-iran-for-ninth-consecutive-night-as-hormuz-tensions-escalate	2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/027_kuwait-and-bahrain-targeted-by-iran-after-exchange-of-fire-with-us-us.txt	Kuwait and Bahrain targeted by Iran after exchange of fire with US | US-Israel war on Iran | The Guardian	theguardian.com	新聞媒體	last month	https://www.theguardian.com/world/2026/jun/06/us-says-iran-radar-sites-struck-and-drones-intercepted-in-latest-threat-to-fragile-ceasefire	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/028_us-military-completes-11th-night-of-strikes-on-iran-as-attacks-oversha.txt	US military completes 11th night of strikes on Iran as attacks overshadow diplomacy efforts	apnews.com	新聞媒體	today	https://apnews.com/article/1664f6a4dad005a99771b2ad15213585	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/029_us-military-identifies-3rd-service-member-believed-to-have-been-killed.txt	US military identifies 3rd service member believed to have been killed in Iranian attack	apnews.com	新聞媒體	today	https://apnews.com/article/5ec21d4f12fbdee658ec15ed8d3750ee	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/030_7-600-israeli-strikes-on-iran-reported.txt	7,600+ Israeli strikes on Iran reported	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/16/israel-conducts-7600-strikes-on-iran-in-13-days-iran-fires-hundreds-of-missiles-and-drones-at-israel	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/031_march-13-2026-iran-israel-war-2026-live-updates-idf.txt	March 13, 2026: Iran-Israel War 2026 - Live Updates | IDF	idf.il	新聞媒體	4 months ago	https://www.idf.il/en/mini-sites/operation-roaring-lion/real-time-updates-day-by-day/march-13-2026-real-time-updates-operation-roaring-lion	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/032_operation-epic-fury-decisive-american-power-to-crush-irans-terror-regi.txt	Operation Epic Fury: Decisive American Power to Crush Iran’s Terror Regime – The White House	whitehouse.gov	政府／國際組織	4 months ago	https://www.whitehouse.gov/releases/2026/03/operation-epic-fury-decisive-american-power-to-crush-irans-terror-regime	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/033_idf-eliminates-several-operatives-as-iaf-strikes-200-targets-across-ir.txt	IDF eliminates 'several operatives' as IAF strikes 200 targets across Iran	yahoo.com	新聞媒體	4 months ago	https://www.yahoo.com/news/articles/idf-eliminates-several-operatives-iaf-223127992.html	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/034_israel-conducts-its-largest-air-combat-operation-in-history-against-ir.txt	Israel Conducts Its Largest Air Combat Operation in History Against Iran With 200 Fighter Jets	armyrecognition.com	新聞媒體	4 months ago	https://www.armyrecognition.com/news/aerospace-news/2026/israel-conducts-its-largest-air-combat-operation-in-history-against-iran-with-200-fighter-jets	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/035_idf-over-600-terror-infrastructures-destroyed-so-far-in-iran-israel-na.txt	IDF: Over 600 terror infrastructures destroyed so far in Iran | Israel National News	israelnationalnews.com	新聞媒體	4 months ago	https://www.israelnationalnews.com/news/423242	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/036_israel-hits-250-iran-lebanon-targets-in-major-assault-israel-jewish-ne.txt	Israel hits 250 Iran, Lebanon targets in major assault - Israel & Jewish News - JNS	jns.org	新聞媒體	3 months ago	https://www.jns.org/news/israel-news/israel-hits-250-iran-lebanon-targets-in-major-assault	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/037_iran-s-catamaran-corvette-struck-during-operation-epic-fury-naval-news.txt	Iran's Catamaran Corvette Struck During Operation Epic Fury - Naval News	navalnews.com	新聞媒體	4 months ago	https://www.navalnews.com/naval-news/2026/03/irans-catamaran-corvette-struck-during-operation-epic-fury	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/038_us-has-destroyed-entire-class-of-iranian-warships-centcom-commander-sa.txt	US has destroyed entire class of Iranian warships, CENTCOM commander says	navytimes.com	新聞媒體	4 months ago	https://www.navytimes.com/news/your-military/2026/03/11/us-has-destroyed-entire-class-of-iranian-warships-centcom-commander-says	2026 US-Iran War-Operation Epic Fury
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/039_israeli-air-force-jets-drop-2-500-munitions-on-600-plus-iranian-target.txt	Israeli Air Force jets drop 2,500 munitions on 600-plus Iranian targets - Israel & Jewish News - JNS	jns.org	新聞媒體	4 months ago	https://www.jns.org/israel-news/iaf-carries-out-700-plus-missions-after-clearing-the-way-to-tehran	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/040_u-s-ends-naval-blockade-of-iran-usni-news.txt	U.S. Ends Naval Blockade of Iran - USNI News	news.usni.org	新聞媒體	last month	https://news.usni.org/2026/06/18/u-s-ends-naval-blockade-of-iran	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/041_us-forces-strike-1-700-targets-in-iran-during-operation-epic-fury-fox.txt	US forces strike 1,700 targets in Iran during Operation Epic Fury | Fox News	foxnews.com	新聞媒體	4 months ago	https://www.foxnews.com/politics/us-unleashes-operation-epic-fury-strikes-1700-iran-targets-72-hours	2026 US-Iran War-Operation Epic Fury
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/042_us-sends-another-2-500-marines-to-iran-as-ground-option-emerges-in-war.txt	US Sends Another 2,500 Marines to Iran as Ground Option Emerges in War | Military.com	military.com	新聞媒體	4 months ago	https://www.military.com/daily-news/headlines/2026/03/20/us-send-another-2500-marines-ground-option-emerges-iran-war.html	2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/043_us-iran-exchange-attacks-around-strait-of-hormuz-conflict-news-al-jaze.txt	US, Iran exchange attacks around Strait of Hormuz | Conflict News | Al Jazeera	aljazeera.com	新聞媒體	last week	https://www.aljazeera.com/news/2026/7/13/missile-strikes-and-attacks-on-ships-reported-around-strait-of-hormuz	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/044_3-400-strikes-in-iran-7-500-munitions-used-150-defense-systems-out-of.txt	3,400 strikes in Iran, 7,500 munitions used, 150 defense systems out of use | Israel National News	israelnationalnews.com	新聞媒體	4 months ago	https://www.israelnationalnews.com/news/423526	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/045_watch-over-800-strikes-16-000-munitions-on-iran-thus-far-the-jerusalem.txt	WATCH: Over 800 strikes, 16,000 munitions on Iran thus far | The Jerusalem Post	jpost.com	新聞媒體	3 months ago	https://www.jpost.com/israel-news/article-891863	2026 US-Iran War-Operation Roaring Lion | 2026 US-Iran War-Iranian Ballistic Missile Attacks
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/046_us-bombers-pound-200-targets-across-iran-in-72-hours-military-com.txt	US Bombers Pound 200 Targets Across Iran in 72 Hours | Military.com	military.com	新聞媒體	4 months ago	https://www.military.com/daily-news/headlines/2026/03/06/us-bombers-pound-nearly-200-targets-across-iran.html	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/047_greece-deploys-fdi-frigate-to-shield-cyprus-amid-iran-tensions-naval-n.txt	Greece Deploys FDI Frigate to Shield Cyprus Amid Iran Tensions - Naval News	navalnews.com	新聞媒體	4 months ago	https://www.navalnews.com/naval-news/2026/03/greece-deploys-fdi-frigate-to-shield-cyprus-amid-iran-tensions	2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/048_estimate-iran-s-remaining-aerial-firepower-march-24-2026-25-03-2026-bu.txt	ESTIMATE: Iran's remaining aerial firepower - March 24, 2026 - 25.03.2026 | BURSA.RO	bursa.ro	新聞媒體	4 months ago	https://www.bursa.ro/estimate-iran39s-remaining-aerial-firepower-march-24-2026-29847851	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/049_operation-epic-fury-timeline-march-2026.txt	Operation Epic Fury Timeline - March 2026	national-security.info	新聞媒體	未標示	https://www.national-security.info/events/epic-fury/timeline-epic-fury-march-2026.html	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/050_first-us-navy-s-mod-2-ddg-makes-combat-debut-in-epic-fury-strikes-nava.txt	First US Navy's MOD 2 DDG Makes Combat Debut in Epic Fury Strikes - Naval News	navalnews.com	新聞媒體	4 months ago	https://www.navalnews.com/naval-news/2026/03/first-us-navys-mod-2-ddg-makes-combat-debut-in-epic-fury-strikes	2026 US-Iran War-Operation Epic Fury
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/001_iran-and-proxy-militias-strike-energy-infrastructure-us-bases-and-gulf.txt	Iran and proxy militias strike energy infrastructure, US bases, and Gulf capitals on March 6	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/06/iran-and-proxy-militias-strike-energy-infrastructure-us-bases-and-gulf-capitals-on-march-6	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Naval Target Strikes
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/002_us-and-israel-establish-air-superiority-focus-strikes-on-iranian-milit.txt	US and Israel establish air superiority, focus strikes on Iranian military sites and ‘regime pillars’ (March 4–5)	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/06/us-and-israel-establish-air-superiority-focus-strikes-on-iranian-military-sites-and-regime-pillars-march-4-5	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Nuclear Program And Facility Attacks
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/003_israel-intensifies-strikes-on-repression-sites-expands-outreach-to-ira.txt	Israel intensifies strikes on repression sites, expands outreach to Iranians as regime repression deepens (March 8-10 updates)	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/10/israel-intensifies-strikes-on-repression-sites-expands-outreach-to-iranians-as-regime-repression-deepens-march-8-10-updates	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Naval Target Strikes
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/004_us-israeli-strikes-hit-irans-missile-nuclear-political-and-repression.txt	US-Israeli strikes hit Iran’s missile, nuclear, political, and repression sites	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/03/us-israeli-strikes-hit-irans-missile-nuclear-political-and-repression-sites	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Nuclear Program And Facility Attacks
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/005_iranian-strikes-damage-at-least-17-us-sites-across-middle-east-report.txt	Iranian strikes damage at least 17 US sites across Middle East: Report	aa.com.tr	新聞媒體	4 months ago	https://www.aa.com.tr/en/middle-east/iranian-strikes-damage-at-least-17-us-sites-across-middle-east-report/3860156	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Nuclear Program And Facility Attacks
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/006_10-major-iranian-naval-targets-struck-in-operation-epic-fury.txt	10 major Iranian naval targets struck in Operation Epic Fury	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/18/10-major-iranian-naval-targets-struck-in-operation-epic-fury	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Naval Target Strikes
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/007_iaea-says-no-damage-at-iran-nuclear-sites-envoy-says-natanz-was-hit-ir.txt	IAEA says no damage at Iran nuclear sites, envoy says Natanz was hit | Iran International	iranintl.com	新聞媒體	4 months ago	https://www.iranintl.com/en/202603022493	2026 US-Iran War-Iranian Command And Security Apparatus Strikes | 2026 US-Iran War-Iranian Nuclear Program And Facility Attacks | 2026 US-Iran War-Civilian And Critical Infrastructure Damage
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/008_us-military-completes-11th-night-of-strikes-on-iran-as-attacks-oversha.txt	US military completes 11th night of strikes on Iran as attacks overshadow diplomacy efforts	apnews.com	新聞媒體	today	https://apnews.com/article/1664f6a4dad005a99771b2ad15213585	2026 US-Iran War-Iranian Missile Drone And Air Defense Site Strikes | 2026 US-Iran War-Iranian Naval Target Strikes | 2026 US-Iran War-Civilian And Critical Infrastructure Damage
2026 US-Iran War-Targets And Damage	2026 US-Iran War-Targets And Damage/009_nearly-1-500-iranian-civilians-killed-in-u-s-israeli-strikes-report-sa.txt	Nearly 1,500 Iranian civilians killed in U.S, Israeli strikes, report says - The Washington Post	washingtonpost.com	新聞媒體	3 months ago	https://www.washingtonpost.com/national-security/2026/03/27/iran-war-civilian-deaths	2026 US-Iran War-Regional US And Allied Base Attacks | 2026 US-Iran War-Civilian And Critical Infrastructure Damage
